"","RSV","Plot","forestType","tree_id_field","dist_to_nearest_itd","height_diff_with_nearest"
"908","14","G19","Mixed",55,1.27134774543373,-9.29100036621094
"909","14","G19","Mixed",56,2.36267717043328,4.1399993896484
"910","14","G19","Mixed",57,0.802155221900725,10.4329986572266
"911","14","G19","Mixed",58,1.21551433516304,16.4369964599609
"912","14","G19","Mixed",59,2.91925203149166,16.4369964599609
"913","14","G19","Mixed",60,1.60394606424837,-3.98999786376953
"914","14","G19","Mixed",61,1.11338685411634,19.1999969482422
"915","14","G19","Mixed",62,1.89418533289003,5.7170028686523
"916","14","G19","Mixed",63,0.871835306813185,6.9769973754883
"917","14","G19","Mixed",64,2.60605211318816,-1.68800354003906
"918","14","G19","Mixed",65,4.72416475365757,-0.68800354003906
"919","14","G19","Mixed",66,1.8780805601346,11.5400009155273
"920","14","G19","Mixed",67,1.7361578660304,10.4329986572266
"921","14","G19","Mixed",68,2.45947331229023,2.7410049438477
"922","14","G19","Mixed",69,3.02772921679506,14.0750045776367
"923","14","G19","Mixed",75,2.61067340586984,15.6999969482422
"924","14","G19","Mixed",76,4.81270607140246,11.4309997558594
"925","14","G19","Mixed",79,2.31777926205833,10.7170028686523
"926","14","G19","Mixed",70,1.57458063207116,4.9490051269531
"927","14","G19","Mixed",71,1.9377605312134,8.8740005493164
"928","14","G19","Mixed",72,0.584167401867783,12.1399993896484
"929","14","G19","Mixed",73,2.05091534112782,3.984001159668
"930","14","H02","Mixed",2,0.584276050987989,2.5640029907227
"931","14","H02","Mixed",4,0.692226925503198,7.7689971923828
"932","14","H02","Mixed",5,0.620762338492291,10.3399963378906
"933","14","H02","Mixed",6,1.27500580325443,NA
"934","14","H02","Mixed",7,1.07163860103038,-0.330001831054702
"935","14","H02","Mixed",9,0.846192028534515,4.0380020141602
"936","14","H02","Mixed",10,2.70958391936585,8.75
"937","14","H02","Mixed",11,2.94948913761329,6.75
"938","14","H02","Mixed",14,1.05965639153417,-2.1660003662109
"939","14","H02","Mixed",15,3.7183848818061,9.3519973754883
"940","14","H02","Mixed",16,0.648805227453807,0.0410003662108984
"941","14","H02","Mixed",17,1.92591451114212,-1.7090072631836
"942","14","H02","Mixed",19,0.808086742633774,-4.004997253418
"943","14","H02","Mixed",22,3.22759448765466,-1.3600006103516
"944","14","H02","Mixed",23,2.64340273135179,-3.6380004882812
"945","14","H02","Mixed",24,2.49787012465481,-0.6380004882812
"946","14","H02","Mixed",26,0.89606250302323,NA
"947","14","H02","Mixed",27,2.76538446306067,1.3399963378906
"948","14","H02","Mixed",28,0.52603823797007,7.0819931030273
"949","14","H02","Mixed",29,0.717458405735159,1.3100051879883
"950","14","H02","Mixed",30,0.642834674687883,4.0380020141602
"951","14","H02","Mixed",32,4.44516006145632,18.8519973754883
"952","14","H02","Mixed",34,1.53672457970128,1.75
"953","14","H02","Mixed",35,1.59283084557241,4.0410003662109
"954","14","H02","Mixed",37,2.42470163112194,4.0410003662109
"955","14","H02","Mixed",40,4.02793786579755,5.0960006713867
"956","14","H02","Mixed",41,0.97829714237635,NA
"957","14","H02","Mixed",42,1.05434495104633,-8.3789978027344
"958","14","H02","Mixed",43,2.9340823602025,9.0490036010742
"959","14","H02","Mixed",44,3.06739812026222,10.9879989624023
"960","14","H02","Mixed",45,2.15416242189527,14.0490036010742
"961","14","H02","Mixed",46,1.79530573784392,17.0819931030273
"962","14","H02","Mixed",47,2.19838580960351,16.0380020141602
