"","RSV","Plot","forestType","n_trees_field","n_trees_itd","avg_height_field","avg_height_itd","avg_distance_to_nearest","avg_height_difference"
"22","14","H04","Mixed",65,36,17.6296296296296,20.3282782236735,2.46806367102629,7.96485507873599
"23","14","H05","Mixed",57,29,16,20.9191726158405,2.4411435602005,7.80831519770552
"24","14","H10","Mixed",75,23,16.3169014084507,26.5488695891007,2.40992749758777,7.9567046907213
"25","14","H12","Mixed",42,21,23.0780487804878,26.9739510672433,2.3970283115885,7.80206781773563
"26","14","H19","Mixed",40,18,21.9972972972973,28.5181113349067,2.39270200776556,7.77171503439263
"27","14","J02","Mixed",48,24,14.5914893617021,22.532875696818,2.37403988255889,7.78496352199697
"28","14","J06","Mixed",70,35,15.3389830508475,20.6188572474888,2.33749828500104,7.67741616888892
"29","14","J07","Mixed",68,32,16.9344262295082,21.0366251468659,2.32044117313124,7.5151811431309
"30","14","J09","Mixed",30,10,31.792,36.9450996398926,2.33740859814953,7.47920446664316
"31","14","J13","Mixed",40,23,24.2025,31.5796949967094,2.33267726372289,7.47864316981474
"32","14","J15","Mixed",28,11,25.0962962962963,39.8738188310103,2.35917959779415,7.61517644759712
"33","14","K10","Mixed",94,23,12.9065217391304,20.9855638586957,2.35404178290982,7.70357514641157
"34","14","K11","Mixed",56,26,13.7410714285714,19.6301149221567,2.34807961480378,7.64197629203431
"35","14","K14","Mixed",33,9,32.109375,39.2008887396918,2.36334008648591,7.62784024825601
"36","14","K16","Mixed",27,9,30.1653846153846,42.2825546264648,2.38236878215482,7.70434802437886
"37","14","K18","Mixed",69,25,15.6646153846154,23.6357208251953,2.36568033796219,7.73065993412976
"38","14","L17","Mixed",30,7,31.8275862068966,39.611572265625,2.39919980496629,7.73451077122986
"39","14","M13","Mixed",37,21,23.2828571428571,27.5369048345657,2.39558109607262,7.65363355575631
"40","46","B12","Deciduous",53,40,13.65,17.7045498847961,1.94574217420904,3.72802481651307
"41","46","C11","Deciduous",41,43,23.2142857142857,16.0121396974076,1.6420432732212,-0.543176510754749
"42","46","D06","Deciduous",18,23,10.9285714285714,18.1937391861625,1.87405041217704,0.813073135003817
"43","46","E06","Deciduous",14,32,16.1666666666667,23.4664687514305,1.88044379094709,1.50260441119855
"44","46","E09","Deciduous",13,33,15.7916666666667,19.9593333620014,1.87269187910196,1.74982527390267
"45","46","E13","Deciduous",54,40,13.7395833333333,18.3482500314712,1.86704140217762,2.60526491000953
"46","46","F05","Deciduous",34,44,14.6875,19.6233182820407,1.85877588867498,3.06786889977794
"47","46","F10","Deciduous",24,35,13.6666666666667,19.961743082319,1.85311785345107,3.31536824904864
"48","46","G06","Deciduous",38,44,15.8428571428571,19.6093182563782,1.82707462028697,3.37109327720384
"49","46","G11","Deciduous",25,41,11.9090909090909,19.701805044965,1.7878444164664,3.73815125827642
"50","46","G13","Deciduous",33,31,10.5333333333333,19.8694517074093,1.78883817911524,4.26292716794544
"51","46","H04","Deciduous",30,51,9.375,15.8053137087355,1.78064943778223,4.44666568025366
"52","46","H09","Deciduous",36,35,12.030303030303,20.4665999821254,1.83814078036591,4.88463645946246
"53","46","H12","Deciduous",28,31,12.6041666666667,18.8557098142562,1.8417116242246,5.01805492035331
"54","46","J03","Deciduous",32,42,11.8148148148148,19.9304045268468,1.8185724959216,5.22419398171561
"55","46","J06","Deciduous",30,35,12.3846153846154,19.2987712860107,1.82508882792311,5.37104551415695
"56","46","J09","Deciduous",23,34,10.4,18.1827354992137,1.83296488333914,5.4784201356374
"57","46","K02","Deciduous",22,28,14.1111111111111,20.063321352005,1.84977888925212,5.48426979466489
"58","9","B12","Deciduous",13,29,22.5454545454545,27.1306553544669,1.64659952558343,4.18218265880238
"59","9","C09","Deciduous",13,28,24.7333333333333,27.26846408844,1.95058627959904,3.29739177538002
"60","9","C11","Deciduous",22,24,20.45625,25.7908752759298,2.05440652787068,4.47551341912686
"61","9","D06","Deciduous",11,35,19.41,27.9513147626604,1.95568415866422,5.26698016731107
"62","9","D08","Mixed",16,13,27.625,30.683231647198,2.18291932799604,4.73107752873348
"63","9","D09","Mixed",25,12,25.296,31.8144995371501,2.31993852066321,5.30315583970812
"64","9","D10","Mixed",20,14,26.275,31.0182846614293,2.41523510814082,5.1485545279763
"65","9","D12","Deciduous",25,26,16.0090909090909,23.8773844792293,2.40758324273139,5.57428792895693
"66","9","E03","Deciduous",22,29,19.325,31.1037929140288,2.36800250845562,6.22086494033401
"67","9","E05","Deciduous",17,27,22.0357142857143,28.473925696479,2.3543580746614,6.2355679170585
"68","9","E11","Mixed",21,7,25.6571428571429,32.0727135794503,2.4862525921066,6.22620758306785
"69","9","F02","Deciduous",15,33,25.5538461538462,31.4806666518703,2.4304296539446,6.17193870155179
"70","9","F04","Deciduous",12,27,20.3333333333333,26.1074812147352,2.41821931458883,6.16716570970489
"71","9","F09","Mixed",23,10,27.1565217391304,30.7795001983643,2.53725444974023,5.89619281166479
"72","9","F10","Mixed",15,9,30.1466666666667,32.5461099412706,2.58805309309204,5.66951016712582
"73","9","F12","Mixed",32,14,18.13125,30.3592853546143,2.67810773058342,6.5487599736994
"74","9","F13","Mixed",41,9,18.3219512195122,31.6756663852268,2.81371785152002,7.65157599630235
"75","9","G03","Deciduous",13,41,20.2090909090909,23.8181952499762,2.76653633361646,7.49667897355666
"76","9","G09","Mixed",19,13,29.3894736842105,31.3618463369516,2.78360891109299,7.17436713731358
"77","9","G11","Mixed",17,12,25.2470588235294,29.6284993489583,2.79283066521112,7.13759510681321
"78","9","G13","Mixed",11,14,21.14,28.1177147456578,2.79339126676502,7.18052824700486
"79","9","H04","Deciduous",13,28,21.21,25.2948216029576,2.76216057050761,7.10038389400154
"80","9","H12","Deciduous",45,20,12.1473684210526,23.870599937439,2.71311142439984,7.52244891531394
"81","9","H13","Deciduous",13,27,20.7285714285714,25.2098149900083,2.70500737784633,7.47867518986497
"82","9","J03","Mixed",28,25,19.8962962962963,25.3691593933105,2.68389252569126,7.32304607852475
"83","9","J05","Deciduous",12,26,25.9444444444444,27.1154623765212,2.67542927214371,7.18727151278792
"84","9","J11","Deciduous",15,31,19.3,22.8448063019783,2.64980149842945,7.10510330361153
"85","9","K12","Mixed",20,17,17.6909090909091,25.1947643055635,2.63702714114746,7.10378758224016
"86","9","K14","Deciduous",9,30,19.5222222222222,24.8951666514079,2.62508795701453,7.08227526552764
"87","9","L04","Deciduous",19,22,18.1846153846154,25.704590884122,2.60546249965303,7.10855814465404
